,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
14476,IntroFly,Startups,75000.0,closed,USA,IL,Chicago,Chicago,1.0,6,2011,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0,1
14481,IntroNiche,Advertising,0.0,closed,BEL,other,Brussels,Brussels,1.0,12,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,0.049315068493150684,1
14497,Invarium,Semiconductors,6000000.0,acquired,USA,CA,SF Bay Area,San Jose,1.0,1,2003,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0,international,3.052054794520548,0
14550,InVisM,Games,37500.0,closed,USA,CO,Denver,Greenwood Village,2.0,1,2006,0.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,3.750684931506849,1
14552,Invite Media,Advertising,5000000.0,acquired,USA,PA,Philadelphia,Philadelphia,3.0,2,2007,1000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.8301369863013699,0
14564,Involver,Social Network Media,12645126.0,acquired,USA,CA,SF Bay Area,San Francisco,5.0,1,2007,0.0,12645126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440000.0,1600000.0,8000000.0,0.0,0.0,0.0,0.0,0,international,1.6712328767123288,0
14587,IonLogix Systems,VoIP,30000.0,closed,USA,TX,Austin,Waco,1.0,12,2007,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.8712328767123287,1
14615,iPierian,Biotechnology,74170000.0,acquired,USA,CA,SF Bay Area,South San Francisco,4.0,1,2007,0.0,70470000.0,0.0,0.0,0.0,0.0,0.0,3700000.0,0.0,0.0,30000000.0,28970000.0,0.0,0.0,0.0,0.0,0.0,0,international,2.5178082191780824,0
14618,IPLocks,Security,15400000.0,acquired,USA,CA,SF Bay Area,Sunnyvale,1.0,1,2002,0.0,15400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400000.0,0.0,0.0,0.0,0,international,4.4520547945205475,0
14620,IPLSHOP Brasil,Mobile,180000.0,closed,BRA,other,Sao Paulo,Ṣo Paulo,1.0,8,2013,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.0,1
